City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kodiak,US,57.79,-152.4072,17.65,76,11,6.13,few clouds
80,Nizwa,OM,22.9333,57.5333,71.87,42,10,0.87,clear sky
81,Baykit,RU,61.67,96.37,30.06,91,100,11.59,light snow
82,Magelang,ID,-7.4706,110.2178,76.75,95,97,0.2,overcast clouds
83,Alice Springs,AU,-23.7,133.8833,72.95,49,46,0.0,scattered clouds
84,Laguna,US,38.421,-121.4238,62.01,98,90,0.0,fog
85,Mangan,IN,27.5167,88.5333,64.69,75,73,1.74,broken clouds
86,Salalah,OM,17.0151,54.0924,76.06,64,0,5.55,clear sky
87,Tuatapere,NZ,-46.1333,167.6833,58.82,97,72,2.55,broken clouds
88,Taldan,RU,53.6667,124.8,-4.14,68,65,2.77,broken clouds
89,Nanortalik,GL,60.1432,-45.2371,24.76,49,19,9.06,few clouds
90,Port Hedland,AU,-20.3167,118.5667,86.05,62,6,12.66,clear sky
91,Walvis Bay,NA,-22.9575,14.5053,68.95,60,0,16.11,clear sky
92,Alekseyevsk,RU,57.8406,108.3492,28.49,74,43,13.98,scattered clouds
93,Ryabovo,RU,59.4,31.1333,20.86,95,100,8.01,light snow
94,Hobyo,SO,5.3505,48.5268,80.01,65,2,16.26,clear sky
95,Shadegan,IR,30.6497,48.6647,64.35,26,50,11.14,scattered clouds
96,Acapulco,MX,16.8634,-99.8901,82.18,58,75,1.7,broken clouds
97,Luderitz,NA,-26.6481,15.1594,64.58,76,56,7.07,broken clouds
98,Vaini,TO,-21.2,-175.2,73.56,94,75,4.61,light intensity drizzle
99,Dikson,RU,73.5069,80.5464,-21.3,95,99,13.98,overcast clouds
100,Jaumave,MX,23.4167,-99.3833,66.96,50,34,2.46,scattered clouds
101,Tiksi,RU,71.6872,128.8694,-32.89,99,62,4.88,broken clouds
102,Cidreira,BR,-30.1811,-50.2056,70.97,68,51,15.97,broken clouds
103,Karasuk,RU,53.7377,78.0403,21.18,87,8,12.44,clear sky
104,Fare,PF,-16.7,-151.0167,80.92,67,32,20.62,scattered clouds
105,Chuy,UY,-33.6971,-53.4616,69.31,66,86,11.81,overcast clouds
106,El Tigre,VE,8.8875,-64.2454,86.85,46,98,10.8,overcast clouds
107,Tilichiki,RU,60.4667,166.1,20.71,85,98,16.98,overcast clouds
108,Union,US,40.6334,-74.2663,48.29,50,1,14.97,clear sky
109,Sinop,TR,41.7711,34.8709,44.78,60,0,12.68,clear sky
110,Cape Town,ZA,-33.9258,18.4232,68.09,57,0,5.99,clear sky
111,Leningradskiy,RU,69.3833,178.4167,11.71,82,99,11.45,overcast clouds
112,Bage,BR,-31.3314,-54.1069,76.78,47,75,12.66,broken clouds
113,Porto Belo,BR,-27.1578,-48.5531,76.15,70,100,8.59,overcast clouds
114,Voh,NC,-20.9667,164.7,75.78,90,99,4.63,overcast clouds
115,Lorengau,PG,-2.0226,147.2712,81.75,79,15,7.65,few clouds
116,Constitucion,CL,-35.3333,-72.4167,63.59,59,9,11.45,clear sky
117,Carinhanha,BR,-14.3047,-43.765,87.46,53,100,4.63,overcast clouds
118,Denpasar,ID,-8.65,115.2167,82.06,83,40,4.61,scattered clouds
119,Shingu,JP,33.7333,135.9833,45.97,83,12,5.97,few clouds
120,Dafeng,CN,23.4517,108.5881,58.32,54,79,3.96,broken clouds
121,Narsaq,GL,60.9167,-46.05,11.73,67,8,9.1,clear sky
122,Souillac,MU,-20.5167,57.5167,79.18,83,40,8.05,scattered clouds
123,Ewo,CG,-0.8725,14.8206,81.7,71,100,2.68,light rain
124,Padang,ID,-0.9492,100.3543,78.85,80,100,4.63,light rain
125,Clyde River,CA,70.4692,-68.5914,8.83,92,95,5.75,light snow
126,Talnakh,RU,69.4865,88.3972,-23.8,98,100,9.37,overcast clouds
127,Nuuk,GL,64.1835,-51.7216,17.1,71,60,11.81,broken clouds
128,Husavik,IS,66.0449,-17.3389,21.11,81,100,10.74,overcast clouds
129,Mahebourg,MU,-20.4081,57.7,79.09,83,40,8.05,light rain
130,Yellowknife,CA,62.456,-114.3525,-1.59,88,90,1.01,light snow
131,Lokosovo,RU,61.1333,74.8167,19.22,94,100,10.69,light snow
132,Quatre Cocos,MU,-20.2078,57.7625,78.91,79,27,11.01,light rain
133,Pevek,RU,69.7008,170.3133,4.21,94,100,21.34,snow
134,Waipawa,NZ,-41.4122,175.5153,60.46,87,100,4.63,light rain
135,Kalevala,RU,65.2,31.1667,13.8,96,96,7.87,overcast clouds
136,Ankara,TR,39.9199,32.8543,43.72,55,3,3.69,clear sky
137,Upernavik,GL,72.7868,-56.1549,16.77,83,100,6.13,overcast clouds
138,Inhambane,MZ,-23.865,35.3833,84.18,70,20,15.99,few clouds
139,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,8.05,light rain
140,Nioki,CD,-2.7167,17.6833,85.46,64,100,1.79,overcast clouds
141,Panyutyne,UA,48.9333,36.2833,48.74,69,68,18.07,broken clouds
