City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,Lompoc,US,54.25,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
185,Tual,ID,83.08,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
187,Coffs Harbour,AU,68.13,clear sky,-30.3,153.1333,Aquajet Motel
189,Tautira,PF,75.22,broken clouds,-17.7333,-149.15,Pension Oaoa
190,Coquimbo,CL,64.49,clear sky,-29.9533,-71.3436,Punto de encuentro
191,Tonantins,BR,81.75,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
192,Aksay,RU,48.42,broken clouds,47.26,39.87,Chernaya Zhemchuzhina
193,Sur,OM,74.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
195,Karratha,AU,85.42,clear sky,-20.7377,116.8463,ibis Styles Karratha
196,Halifax,CA,45.34,broken clouds,44.6453,-63.5724,Hotel Halifax
199,Sharjah,AE,80.58,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
200,Lewisporte,CA,54.14,overcast clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
201,Biak,ID,76.75,moderate rain,-0.9131,122.8766,Penginapan Kim
203,Bengkulu,ID,78.49,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
204,Necochea,AR,59.04,light rain,-38.5473,-58.7368,dyd -mar Hotel
205,Ugoofaaru,MV,83.03,clear sky,5.6667,73.0,Ungoofaaru Inn
207,Kieta,PG,78.67,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
208,Ojinaga,MX,67.57,clear sky,29.5667,-104.4167,Suites Las Palmas
209,Hervey Bay,AU,73.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
210,Saly,HU,35.19,broken clouds,47.95,20.6667,Iecsó Vendégház
211,Broome,US,37.71,overcast clouds,42.2506,-75.833,Chenango Valley State Park
212,Totoro,CO,62.44,overcast clouds,2.512,-76.4012,Mi posada Totoro
213,Cairns,AU,78.75,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
214,Naze,JP,58.89,overcast clouds,28.3667,129.4833,Shishime Hotel
215,Tacuarembo,UY,81.39,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
216,San Patricio,US,74.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
218,Kendari,ID,76.26,overcast clouds,-3.945,122.4989,Hotel Wixel
219,Klaksvik,FO,36.52,broken clouds,62.2266,-6.589,Airbnb rooms
220,Pandrup,DK,33.89,light snow,57.2215,9.6757,Eva Mose Design
222,Antalaha,MG,77.68,light rain,-14.9003,50.2788,Hotel Vitasoa
223,Comodoro Rivadavia,AR,65.25,clear sky,-45.8667,-67.5,Austral Hotel
224,Itoman,JP,64.42,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
227,Touros,BR,86.58,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
228,Rawson,AR,67.06,clear sky,-43.3002,-65.1023,Hosteria Sampedro
229,Islamkot,PK,72.43,clear sky,24.6997,70.177,Haji Hotel
230,Port Moresby,PG,77.49,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
232,Diego De Almagro,CL,80.29,broken clouds,-26.3667,-70.05,hotel luna del desierto
233,New Cumnock,GB,44.42,broken clouds,55.3956,-4.1846,"Lochside House Hotel, Lodges and Spa"
235,Russell,US,67.98,broken clouds,32.3502,-85.1999,Macs
236,Namibe,AO,75.72,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
237,Miri,MY,77.38,light rain,4.4148,114.0089,"Mega Hotel, Miri"
238,Jumla,NP,43.81,broken clouds,29.2747,82.1838,Royal Garden Hotel
241,Dunedin,NZ,57.7,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
242,Chifeng,CN,28.54,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
243,Hamilton,US,53.74,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
244,Radhanpur,IN,72.16,clear sky,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
246,Manica,FR,47.61,light rain,49.0,-1.1667,Gite Lily
247,Mizdah,LY,55.36,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
248,Pisco,PE,70.02,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
249,Dalbandin,PK,64.92,clear sky,28.8947,64.4101,Gidaan Guest House
250,Jalu,LY,67.05,overcast clouds,29.0331,21.5482,صاحبة الفخامة
251,Port Lincoln,AU,55.11,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
252,Sibolga,ID,77.11,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
253,Nikolskoye,RU,23.02,light snow,59.7035,30.7861,Tourist House - Sablino
254,Kruisfontein,ZA,64.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
255,Rock Springs,US,38.64,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
256,Sheridan,US,46.65,clear sky,44.8333,-106.9173,Comfort Inn & Suites
258,Tukrah,LY,65.03,overcast clouds,32.5341,20.5791,Lagrota restaurant
259,Cabo San Lucas,MX,82.15,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
260,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
261,Ponta Do Sol,PT,70.12,broken clouds,32.6667,-17.1,Hotel do Campo
262,Gizo,SB,82.08,overcast clouds,-8.103,156.8419,Imagination Island
263,Kismayo,SO,81.43,overcast clouds,-0.3582,42.5454,Agan-Hotel
264,Ishigaki,JP,66.63,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
265,Banda Aceh,ID,77.56,moderate rain,5.5577,95.3222,Sulthan Hotel International
266,Nalgonda,IN,72.54,overcast clouds,17.05,79.2667,Sai Krishna Residency
267,Rossland,CA,23.72,overcast clouds,49.0831,-117.8022,Prestige Mountain Resort Rossland
268,Pontes E Lacerda,BR,89.76,broken clouds,-15.2261,-59.3353,Hotel Bressan
269,Jacareacanga,BR,87.21,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
270,Bowral,AU,57.13,overcast clouds,-34.4667,150.4167,Peppers Craigieburn Bowral
272,Ghanzi,BW,88.79,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
273,Charters Towers,AU,77.2,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
274,Catuday,PH,76.95,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
275,Hami,CN,25.45,clear sky,42.8,93.45,Laoyutang Resort
277,Pokhara,NP,61.66,broken clouds,28.2333,83.9833,Butterfly Lodge
278,Linxia,CN,28.18,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
279,Ambilobe,MG,81.81,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
280,Punta Alta,AR,62.51,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
281,Manokwari,ID,79.02,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
282,Lata,PT,56.91,clear sky,40.1629,-8.3327,Casa Maquia
283,San Carlos De Bariloche,AR,58.75,broken clouds,-41.1456,-71.3082,Hotel Patagonia
289,Marawi,PH,64.65,overcast clouds,7.9986,124.2928,Derogongan Residence
290,Vao,NC,76.12,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
291,Durazno,UY,75.15,broken clouds,-33.4131,-56.5006,Hotel Santa Cristina
292,Zhuhai,CN,65.98,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
293,Baruun-Urt,MN,23.07,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
295,Xinyang,CN,47.57,overcast clouds,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
296,Owando,CG,79.38,light rain,-0.4819,15.8999,Exaunel Hotel Owando
297,Scottsbluff,US,42.3,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
298,Fond Du Lac,US,36.75,overcast clouds,43.775,-88.4388,Radisson Hotel and Conference Center Fond du Lac
299,San Jose,US,53.92,mist,37.3394,-121.895,The Westin San Jose
300,Anadyr,RU,20.07,overcast clouds,64.75,177.4833,Отке17 — посуточная аренда жилья для командированных
303,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342,Casona Del Muelle
304,Iralaya,HN,81.07,broken clouds,15.0,-83.2333,Iglesia morava renovada
305,Tromso,NO,20.37,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
306,Diu,IN,73.2,clear sky,20.7141,70.9822,Hotel Relax Inn
307,Meadville,US,38.77,overcast clouds,41.6414,-80.1515,"Holiday Inn Express Meadville (I-79 Exit 147A), an IHG Hotel"
308,Eydhafushi,MV,82.53,clear sky,5.1033,73.0708,Soneva Fushi
309,Berlevag,NO,22.95,broken clouds,70.8578,29.0864,Kvitbrakka
310,Jayuya,PR,83.12,scattered clouds,18.2186,-66.5916,Hacienda Gripinas
311,Rawlins,US,50.22,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
312,Makakilo City,US,71.92,moderate rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
313,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
315,Zhanaozen,KZ,39.47,clear sky,43.3,52.8,K.korabay 28A
316,Saldanha,ZA,64.18,few clouds,-33.0117,17.9442,Blue Bay Lodge
317,Machala,EC,82.35,few clouds,-3.2667,-79.9667,"Hotel ""Bolivar Internacional"""
318,Camargo,MX,65.52,clear sky,27.6667,-105.1667,Hotel Santa Fe
319,Sattahip,TH,80.91,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
320,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
321,Tsiroanomandidy,MG,81.19,few clouds,-18.7667,46.0333,Hotel du Bongolave
322,Magadi,IN,73.56,overcast clouds,12.9667,77.2333,Gowdru Military Hotel Magadi
323,Marovoay,MG,84.81,broken clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
324,Korostyshiv,UA,32.97,overcast clouds,50.3172,29.0563,Эдем
325,General Roca,AR,67.62,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
326,Inongo,CD,76.23,light rain,-1.95,18.2667,Hotel Du Lac
327,Camacha,PT,63.54,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
328,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
329,Kinsale,IE,47.23,light rain,51.7075,-8.5306,Actons Hotel Kinsale
330,Victoria,HK,66.25,few clouds,22.2855,114.1577,Mini Hotel Central
331,Matara,LK,78.6,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
333,Saint George,US,58.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
337,Sena Madureira,BR,86.54,overcast clouds,-9.0656,-68.6569,Hotel Central
338,Calella,ES,57.22,scattered clouds,41.618,2.6678,Hotel htop Calella Palace Family & SPA
339,Benito Juarez,MX,60.39,scattered clouds,19.385,-99.165,Hotel Novit
341,Ruteng,ID,63.77,overcast clouds,-8.6136,120.4721,Hotel FX 72
342,Kaitangata,NZ,55.94,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
343,Portland,US,40.46,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
344,Paranga,RU,32.85,overcast clouds,56.7039,49.4047,"Chulpan, Gostinitsa, Mup Pkkh"
345,Khani,GE,38.77,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
346,Lucapa,AO,80.4,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
349,Lumut,MY,78.08,overcast clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
350,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
351,Kilindoni,TZ,81.59,few clouds,-7.9139,39.6668,Bustani B&B
352,Severobaykalsk,RU,21.22,overcast clouds,55.65,109.3167,Hostel03RUS
353,Asau,RO,35.76,light rain,46.4333,26.4,Casa Mika Ciobanus
354,Port Macquarie,AU,64.36,few clouds,-31.4333,152.9167,Rydges Port Macquarie
355,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
356,Saint-Georges,GD,80.96,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
357,Wilmington,US,72.95,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
358,Kashmor,PK,70.18,clear sky,28.4333,69.5833,Shah Madina Hotel
359,Gat,IL,65.8,overcast clouds,31.61,34.7642,OlusHome
360,Changde,CN,53.71,overcast clouds,29.0464,111.6783,Kangshida Hotel
361,Namatanai,PG,80.46,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
362,Kahului,US,74.46,light rain,20.8947,-156.47,Maui Seaside Hotel
363,Nemuro,JP,47.34,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
364,Grindavik,IS,30.67,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
366,Palu,ID,77.95,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
367,Otane,NZ,64.0,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
368,Tamiahua,MX,77.31,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
369,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
370,Luena,AO,76.42,broken clouds,-11.7833,19.9167,Hotel Kandamba
371,Waingapu,ID,81.28,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
372,Ahipara,NZ,63.82,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
373,Ganzhou,CN,50.86,overcast clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
374,Chiang Rai,TH,60.13,scattered clouds,19.9167,99.9167,Bansaeo Garden and Resort
375,Carutapera,BR,83.71,broken clouds,-1.195,-46.02,Lidera
376,Muroto,JP,54.09,clear sky,33.2833,134.15,Oota Ryokan
377,Gurh,IN,64.54,overcast clouds,24.5167,81.5167,SATISH PATEL
379,Santa Cruz,BO,87.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
380,Goderich,CA,36.91,overcast clouds,43.7501,-81.7165,Harmony Inn
382,Barcelos,PT,53.85,broken clouds,41.5388,-8.6151,Hotel Do Terço
383,Youghal,IE,47.08,moderate rain,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
386,Altay,CN,24.08,broken clouds,47.8667,88.1167,Jinqiao Hotel
387,Willmar,US,38.89,mist,45.1219,-95.0433,Lakeview Inn
388,Tomatlan,MX,81.97,overcast clouds,19.9333,-105.25,El Salvial
389,Kommunar,RU,22.66,light snow,59.6206,30.39,Guest House Izhora
391,Poum,NC,79.05,overcast clouds,-20.2333,164.0167,Gîte kajeon
392,Brokopondo,SR,82.22,overcast clouds,4.75,-55.1667,Matu Island
393,Bati,ET,65.84,clear sky,11.1833,40.0167,Adi 01 Kebele
